"1","2","3","4","5","6","7","8","9","10","11","12"
4216325,259188,33770,48192,10656,5454549.4,2002729.3,7878631.8,8071846.9,5200781.5,2250342,7228588
2260840,2694176,463854,237780,75514,5497175.3,2018380.2,7940201.4,8134926.4,5241424.3,1648901,9721960
2886211,3531712,315919,161686,120486,5821755.1,2137555.1,8409029.3,8615251.8,5550903.3,1302812,9481932
2495818,3780698,493856,159168,197514,9640321.4,3539605.8,13924622.9,14266109.5,9191814.3,1374048,11687671
3869458,2837628,485906,493443,227883,9863092.4,3621399.9,14246396.6,14595774.4,9404221.1,862872,10428182
4090476,2512559,762580,166422,182470,6149426,2257865,8882322,9100151.5,5863329.6,650579,9123291
3302889,1712001,529505,68173,278581,7161682.8,2629532,10344440.6,10598127.1,6828492.1,390284,8598652
2731120,1262596,644732,349365,168539,9408751.5,3454581,13590139.9,13923423.7,8971018,453745,6123207
3549715,2071414,1158327,406596,300036,9529608,3498955.5,13764706.8,14102271.7,9086251.7,443165,6160647
2554158,1803479,962711,59123,463676,8443541.3,3100187.9,12195976.1,12495069.4,8050713.3,252975,8286418
2687961,2128197,995163,75534,351778,6752486.8,2479288.9,9753391.8,9992583.4,6438333.5,170774,5154397
2520268,2384422,813747,1254320,610783,6798413.3,2496151.5,9819728.7,10060547.2,6482123.3,318557,5786967
3218948,3915910,1429791,3371688,1138425,7348706.2,2698200.8,10614580,10874891.3,7006814.4,407042,6310672
3476186,3645017,1599556,2184472,639505,8000246.4,2937424.7,11555674.2,11839064.9,7628042.2,682945,7083790
3477583,5050553,2063685,3648354,858511,8007693.6,2940159.1,11566431.2,11850085.6,7635143,591825,6988544
3767527,3757254,1362721,3676026,949524,6823125.1,1724292.9,12323965.3,12604429.6,4610177.9,920277,6472115
4780433,2179342,597456,1670742,642546,7241904.9,1268326.5,13685486.5,14866601.2,7018825.1,838898,4653306
2457288,1583589,713491,707980,574811,6516046.3,875154.7,11012445.7,16592354,4598508.4,432223,5163132
2574892,2078787,690840,1228197,713642,10632772.6,1347867.8,13234605.4,16537380.1,5015584.5,715814,7037012
2957284,2655765,1225722,1788338,775522,8664486.3,1106446.1,12690346.3,15219189,4859350.6,875125,4811275
3328571,2777644,1353870,2376028,777646,9876462.8,1275018.1,11722968,11834316,4843590.6,811498,3960838
1023790,2777269,1125838,1983914,874781,8609277.3,1011858.5,10076606.3,11353247.4,4839222.6,428620,3119000
2384234,3291546,1026648,2180160,1521757,10893182.8,2093420.5,14165990.6,11814801.7,7119543.5,1126806,1965694
2553978,2488728,892974,1327682,1094472,9028465.4,2956320,11944724.7,11076545.5,4616369.3,737442,3453692
1798718,966522,421214,539354,303734,8548772.3,2532108.3,11071033.5,12298144.1,4319002.2,450037,2635100
1458468,1510212,702847,468686,285037,9647700.4,2847693.7,14057782.1,14537778.9,5811046.3,545328,2844263
926792,2193536,977438,1451564,678370,4944739.2,2044801,8145696.8,6764690.4,3600836.5,366334,3436017
1617213,3301148,1083761,1340944,606610,6893568.8,2074357.4,11626539,9190692.8,5234461.1,369786,2892587
1325095,1860630,669168,865511,518757,7216731.4,2310765.5,12280807.5,9496703.3,5361577,782114,2853451
1024732,1910515,788503,1090994,503943,6675628.9,1414888.9,10388584,9048357.4,3641767.4,359254,1901921
1183626,2231443,765615,623807,581061,6603282.4,1674920.2,11451872.1,10074142.7,4366144.4,570329,2234470
1300409,2273464,769631,1058246,358954,5846117.7,1874018.6,10940631.8,7540575,4020945.7,795365,4331087
1919467,1574228,459089,975824,489511,6184327.3,1862630.1,10625832.2,8560892,3968150.1,766637,4990124
